,CoLA,CoLA,SST_2,SST_2,MRPC,MRPC
,accuracy_score,f1_score,accuracy_score,f1_score,accuracy_score,f1_score
Epoch,,,,,,
1,0.8072866730584851,0.8695652173913044,0.9243119266055045,0.9273127753303965,0.7450980392156863,0.8343949044585988
,CoLA,CoLA,SST_2,SST_2,MRPC,MRPC
,accuracy_score,f1_score,accuracy_score,f1_score,accuracy_score,f1_score
Epoch,,,,,,
2,0.8072866730584851,0.8718929254302104,0.9311926605504587,0.9322799097065463,0.8161764705882353,0.8722316865417377
,CoLA,CoLA,SST_2,SST_2,MRPC,MRPC
,accuracy_score,f1_score,accuracy_score,f1_score,accuracy_score,f1_score
Epoch,,,,,,
3,0.8159156279961649,0.8786346396965866,0.9162844036697247,0.9200438116100766,0.8333333333333334,0.8839590443686006
